Museum
2286	common butterfly
2ea9	dimetrodon torso
2eaa	dimetrodon tail
2eab	iguanodon skull
2eac	iguanodon torso
2ead	iguanodon tail
2eae	sabertooth skull
2eaf	sabertooth torso
2eb0	pachysaurus skull
2eb1	pachysaurus torso
2eb2	pachysaurus tail
2eb3	parasaur skull
2eb4	parasaur torso
2eb5	parasaur tail
2eb6	diplo skull
2eb7	diplo neck
2eb8	diplo chest
2eb9	diplo hip
2eba	diplo tail
2ebb	plesio skull
2ebc	plesio neck
2ebd	plesio torso
2ebe	stego skull
2ebf	stego torso
2ec0	stego tail
2ec1	ptera skull
2ec2	ptera left wing
2ec3	ptera right wing
2ec4	ichthyo skull
2ec5	ichthyo torso
2ec6	raptor skull
2ec7	raptor torso
2ec8	styraco skull
2ec9	styraco torso
2eca	styraco tail
2ecb	spino skull
2ecc	spino torso
2ecd	spino tail
2ece	megacero skull
2ecf	megacero torso
2ed0	megacero tail
2ed1	archelon skull
2ed2	archelon torso
2ed3	T. rex model
2ed4	tricera model
2ed5	mammoth model
2ed6	ankylo model
2ed7	apato model
2ed8	dimetrodon model
2ed9	iguanodon model
2eda	sabertooth model
2edb	pachysaurus model
2edc	parasaur model
2edd	diplo model
2ede	plesio model
2edf	stego model
2ee0	ptera model
2ee1	ichthyo model
2ee2	raptor model
2ee3	styraco model
2ee4	spino model
2ee5	megacero model
2ee6	archelon model
